product_id,title,brand,category,color,size,actual_price,current_price,status,imageurl
RR1,GRAPHIC PRINT T-SHIRT,rare rabbit,t-shirt,white,xs,1799.00,1799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/GINOWHITECC01363.jpg?v=1720183273
RR1,GRAPHIC PRINT T-SHIRT,rare rabbit,t-shirt,white,s,1799.00,1799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/GINOWHITECC01363.jpg?v=1720183273
RR1,GRAPHIC PRINT T-SHIRT,rare rabbit,t-shirt,white,m,1799.00,1799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/GINOWHITECC01363.jpg?v=1720183273
RR1,GRAPHIC PRINT T-SHIRT,rare rabbit,t-shirt,white,l,1799.00,1799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/GINOWHITECC01363.jpg?v=1720183273
RR1,GRAPHIC PRINT T-SHIRT,rare rabbit,t-shirt,white,xl,1799.00,1799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/GINOWHITECC01363.jpg?v=1720183273
RR1,GRAPHIC PRINT T-SHIRT,rare rabbit,t-shirt,white,2xl,1799.00,1799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/GINOWHITECC01363.jpg?v=1720183273
RR2,GRAPHIC PRINTED T-SHIRT,rare rabbit,t-shirt,pink,xs,2299.00,1494.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/hero_e2d38dda-2dd3-47ee-b311-2034c2b89469.jpg?v=1687424695
RR2,GRAPHIC PRINTED T-SHIRT,rare rabbit,t-shirt,pink,s,2299.00,1494.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/hero_e2d38dda-2dd3-47ee-b311-2034c2b89469.jpg?v=1687424695
RR2,GRAPHIC PRINTED T-SHIRT,rare rabbit,t-shirt,pink,m,2299.00,1494.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/hero_e2d38dda-2dd3-47ee-b311-2034c2b89469.jpg?v=1687424695
RR2,GRAPHIC PRINTED T-SHIRT,rare rabbit,t-shirt,pink,l,2299.00,1494.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/hero_e2d38dda-2dd3-47ee-b311-2034c2b89469.jpg?v=1687424695
RR2,GRAPHIC PRINTED T-SHIRT,rare rabbit,t-shirt,pink,xl,2299.00,1494.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/hero_e2d38dda-2dd3-47ee-b311-2034c2b89469.jpg?v=1687424695
RR2,GRAPHIC PRINTED T-SHIRT,rare rabbit,t-shirt,pink,2xl,2299.00,1494.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/hero_e2d38dda-2dd3-47ee-b311-2034c2b89469.jpg?v=1687424695
RR3,GRAPHIC TYPOGRAPHY PRINT OVERSIZED T-SHIRT,rare rabbit,t-shirt,off white,xs,3499.00,3499.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ERKENOFFWHITE01578.jpg?v=1721203120
RR3,GRAPHIC TYPOGRAPHY PRINT OVERSIZED T-SHIRT,rare rabbit,t-shirt,off white,s,3499.00,3499.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ERKENOFFWHITE01578.jpg?v=1721203120
RR3,GRAPHIC TYPOGRAPHY PRINT OVERSIZED T-SHIRT,rare rabbit,t-shirt,off white,m,3499.00,3499.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ERKENOFFWHITE01578.jpg?v=1721203120
RR3,GRAPHIC TYPOGRAPHY PRINT OVERSIZED T-SHIRT,rare rabbit,t-shirt,off white,l,3499.00,3499.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ERKENOFFWHITE01578.jpg?v=1721203120
RR3,GRAPHIC TYPOGRAPHY PRINT OVERSIZED T-SHIRT,rare rabbit,t-shirt,off white,xl,3499.00,3499.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ERKENOFFWHITE01578.jpg?v=1721203120
RR3,GRAPHIC TYPOGRAPHY PRINT OVERSIZED T-SHIRT,rare rabbit,t-shirt,off white,2xl,3499.00,3499.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ERKENOFFWHITE01578.jpg?v=1721203120
RR4,LOGO PRINTED T-SHIRT,rare rabbit,t-shirt,white,xs,2199.00,1209.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/RADD-WHITE2311.jpg?v=1719917849
RR4,LOGO PRINTED T-SHIRT,rare rabbit,t-shirt,white,s,2199.00,1209.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/RADD-WHITE2311.jpg?v=1719917849
RR4,LOGO PRINTED T-SHIRT,rare rabbit,t-shirt,white,m,2199.00,1209.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/RADD-WHITE2311.jpg?v=1719917849
RR4,LOGO PRINTED T-SHIRT,rare rabbit,t-shirt,white,l,2199.00,1209.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/RADD-WHITE2311.jpg?v=1719917849
RR4,LOGO PRINTED T-SHIRT,rare rabbit,t-shirt,white,xl,2199.00,1209.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/RADD-WHITE2311.jpg?v=1719917849
